# time correlation fidelity
1.322645290581162314e+01 -4.794518132766433793e-01 2.858304331969889947e-05
1.326653306613226313e+01 -5.055277770347887945e-01 2.899163912303930328e-05
1.330661322645290490e+01 -5.310423297141751986e-01 2.879698870470615300e-05
1.334669338677354666e+01 -5.559257798845921306e-01 2.806323947563924500e-05
1.338677354709418843e+01 -5.801114821603652327e-01 2.687510879040175567e-05
1.342685370741482842e+01 -6.035359468528912474e-01 2.532798504259489597e-05
1.346693386773547019e+01 -6.261388880592373418e-01 2.351916093771323237e-05
1.350701402805611195e+01 -6.478635323297062820e-01 2.154060360178345116e-05
1.354709418837675372e+01 -6.686566354738889828e-01 1.947411467392936603e-05
1.358717434869739371e+01 -6.884684877741700237e-01 1.738865358063331618e-05
1.362725450901803548e+01 -7.072528981307534268e-01 1.533956406745475235e-05
1.366733466933867724e+01 -7.249673480165463868e-01 1.336910901241580054e-05
1.370741482965931723e+01 -7.415730285149504386e-01 1.150806735732916044e-05
1.374749498997995900e+01 -7.570347461844241232e-01 9.777874742345418424e-06
1.378757515030060077e+01 -7.713208719655787471e-01 8.192721262316799403e-06
1.382765531062124253e+01 -7.844033495166053971e-01 6.761273383822781199e-06
1.386773547094188253e+01 -7.962577549503762064e-01 5.487884178747839882e-06
1.390781563126252429e+01 -8.068631411610150961e-01 4.373489526886260787e-06
1.394789579158316606e+01 -8.162019606814830963e-01 3.415991379552172471e-06
1.398797595190380783e+01 -8.242599882458389038e-01 2.610350500351097313e-06
1.402805611222444782e+01 -8.310263680831987410e-01 1.948503248893886986e-06
1.406813627254508958e+01 -8.364934520382716343e-01 1.419537251212408174e-06
1.410821643286573135e+01 -8.406567057973132195e-01 1.009974171117544535e-06
1.414829659318637134e+01 -8.435146019545758378e-01 7.043005207785640520e-07
1.418837675350701311e+01 -8.450686317269426873e-01 4.856838183386157390e-07
1.422845691382765487e+01 -8.453231765385343932e-01 3.369591744108373325e-07
1.426853707414829664e+01 -8.442854106983497253e-01 2.416276851944475770e-07
1.430861723446893663e+01 -8.419652063314704282e-01 1.847824578871281881e-07
1.434869739478957840e+01 -8.383751047703835724e-01 1.538284789510430672e-07
1.438877755511022016e+01 -8.335302360619527562e-01 1.389542169764588445e-07
1.442885771543086193e+01 -8.274482340284334825e-01 1.332711660534840122e-07
1.446893787575150192e+01 -8.201491712208951457e-01 1.326300002945770061e-07
1.450901803607214369e+01 -8.116555079299646591e-01 1.351608812816540393e-07
1.454909819639278545e+01 -8.019920430002421829e-01 1.406319337387357153e-07
